Flight time,Altitude,Home Distance,Wind Direction,Unnamed: 4,Wind Speed,Unnamed: 6,Event,Wind Direction Modified,Average Wind Direction,Average Wind Speed
t,12m 30s,20.7 m,,272°,,  6.51 m/s,,,,
u,12m 35s,20.6 m,,274°,,  5.84 m/s,,,,
v,12m 40s,20.7 m,,268°,,  6.54 m/s,,,,
w,12m 45s,20.7 m,,272°,,  6.59 m/s,,,,
x,12m 50s,20.8 m,,268°,,  7.41 m/s,,,,
y,12m 55s,20.7 m,,271°,,  6.29 m/s,,,,
z,13m 00s,20.7 m,,268°,,  6.37 m/s,,,,
A,13m 05s,20.8 m,,263°,,  7.19 m/s,,,,
B,13m 10s,45.8 m,,278°,,  6.06 m/s,,,,
C,13m 20s,49.4 m,,266°,,  7.27 m/s,,,,
D,13m 25s,49.5 m,,273°,,  6.89 m/s,,,,
E,13m 30s,49.3 m,,269°,,  4.89 m/s,,,,
F,13m 35s,49.2 m,,269°,,  5.71 m/s,,,,
G,13m 40s,49.2 m,,265°,,  6.14 m/s,,,,
H,14m 20s,2.1 m,,265°,,  2.73 m/s,,,,
